Tag Hierarchy Report
====================

Genericity scores:
entertainment: 47.8096
novels: 8.0792
news: 14.5008
social media: 3.1776
learning: 7.0134
education: 20.3826
science: 13.5310
media: 19.0893
wiki: 1.4587
information: 9.4099
math: 2.5048
history: 2.2378
technology: 14.8762
innovation: 2.2141
health: 20.6572
wellness: 10.7745
sports: 38.5893
politics: 2.6660
government: 1.5076
business: 17.6940
finance: 8.2787
music: 27.8716
travel: 24.1251
lifestyle: 9.1935
art: 12.1852
culture: 4.8151
food: 11.3261
environment: 4.6484
sustainability: 0.7619
psychology: 5.0569
philosophy: 0.7328
literature: 13.1768
gaming: 29.5208
comedy: 8.6474
fashion: 15.0353
design: 2.9236
mathematics: 3.9482
literacy: 7.5478
astronomy: 7.3906
climate: 2.4952
architecture: 1.4830
gadgets: 9.1875
software: 9.0455
style: 10.2534
fitness: 14.2067
recipes: 5.6227
cooking: 7.3702
destinations: 13.4893
adventures: 9.9252
events: 18.5433
entrepreneurship: 7.1628
courses: 5.8863
esports: 8.3032
reviews: 0.9022
manga: 6.6962
comics: 5.6445
albums: 13.2538
concerts: 18.7167
movies: 17.3688
films: 17.0179
photography: 7.3063
diy: 0.7234
crafts: 14.8509
home improvement: 0.7035
pets: 9.3179
animals: 13.2774
care: 3.7067
parenting: 2.1713
family: 4.8583
kids: 9.0248
current affairs: 0.0000
research: 3.7392
discoveries: 4.4197
heritage: 5.8863
investing: 5.6224
cryptocurrency: 1.4875
automotive: 13.9839
cars: 12.5267
motorcycles: 3.0898
real estate: 7.1865
property: 11.6376
housing: 4.1218
nature: 8.9652
mental health: 3.1254
self-help: 2.2199
startups: 5.2403
poetry: 5.2692
writing: 3.9634
marketing: 8.6549
influencers: 0.0000
gambling: 7.5608
casinos: 10.2279
betting: 6.2865
space: 0.9133
astrophysics: 5.1361
nutrition: 6.7077
exercise: 17.6113
shopping: 8.0295
sales: 6.2246
deals: 1.5218
luxury: 3.6132
high-end: 1.6160
blockchain: 0.7711
nfts: 0.0000
vacation: 16.0966
holidays: 3.5609
getaways: 8.3799
interior: 0.8770
weddings: 4.3529
marriage: 5.9498
